Bter_ID,Mated_3,Mated_4,Mated_17,Mated_18,Mated_22,Diapause_33,Diapause_34,Diapause_35,Diapause_36,Diapause_37,Founder_Diapause_40,Founder_Diapause_41,Founder_Diapause_42,Founder_Diapause_80,Founder_Diapause_83
LOC100646003,610,293,1458,906,1292,2188,1182,1033,1150,1881,6329,2044,3062,5536,4304
LOC100646626,2552,594,2989,2766,2633,2264,1858,1794,1856,1651,1309,3093,3870,1934,2790
LOC100643900,30,8,50,5,14,15,8,31,14,12,151,778,646,1930,1109
LOC100652042,475,46,413,342,415,365,490,468,433,708,57,152,139,119,135
LOC100650358,84,22,117,78,250,176,62,32,51,64,312,282,417,464,373
LOC100649981,685,191,684,763,476,536,1412,1226,1876,1237,41,242,84,111,223
LOC100642628,1,36,1,0,1,0,1,1,0,0,2,0,2,0,1
LOC100644023,700,617,851,1099,654,1102,1332,1147,1686,1332,71,711,412,285,450
LOC100651918,1259,302,1784,1140,1865,1975,700,623,719,1011,2863,2797,3887,2872,2600
LOC100646613,1243,347,1954,1289,2119,2217,851,642,711,1188,2577,3741,5294,4777,3397
LOC100642623,1057,264,1758,927,2132,1806,889,756,863,1696,3916,2436,4803,3178,2856
LOC100649371,1433,322,2765,1589,2457,2067,1152,1102,1047,1932,1079,2053,2726,2186,2004
LOC100647433,825,264,1527,704,2085,1806,605,510,485,1125,4216,1921,4869,5766,4647
LOC100645205,1270,264,1262,1258,1312,1436,441,402,379,481,144,1305,1306,910,1035
LOC100647518,1490,394,2450,1507,2617,2108,1071,844,722,1459,3366,2467,4304,3773,2637
LOC100645186,480,69,834,481,775,720,830,703,560,997,862,1049,1452,1367,955
LOC100648619,683,231,927,693,906,1245,709,584,668,891,931,1243,1775,1214,1159
LOC100643906,821,191,1222,763,1455,1314,640,534,513,881,1578,1547,1723,2619,2187
LOC100647428,620,159,1148,689,1568,1089,323,256,341,551,4745,2117,3908,4112,2833
LOC100642560,147,46,296,151,400,361,88,72,71,172,452,320,438,833,558
LOC100647642,343,69,533,418,613,828,250,160,234,360,878,757,860,989,677
LOC100645611,129,32,230,135,286,312,88,64,93,188,475,280,267,745,528
LOC100643376,537,98,600,332,1170,589,201,156,124,254,1213,800,767,2001,1395
LOC100645835,91,19,169,66,259,230,35,33,18,55,579,133,210,574,420
LOC100647901,144,15,251,120,250,264,42,46,45,87,757,256,252,471,400
LOC100646266,76,16,135,65,175,189,132,94,111,212,540,148,228,439,387
LOC100647568,1836,534,3021,1592,2994,2804,974,840,766,2336,8070,4709,8061,8779,8847
LOC100651698,148,24,242,114,298,299,145,85,117,180,526,283,304,499,362
LOC100646251,528,121,772,502,927,1187,205,149,185,297,881,906,1016,1510,1069
LOC100643885,31,4,10,12,23,40,21,19,10,7,35,32,79,36,41
LOC100648473,53,14,67,36,71,134,125,103,96,41,89,208,309,211,267
LOC100648594,13,4,17,21,31,67,21,12,20,1,43,94,119,81,95
LOC100648706,333,101,405,326,483,957,359,266,308,141,716,1056,1590,1052,1120
LOC100643470,245,67,566,235,683,512,218,186,142,468,845,392,641,1409,1111
LOC100652292,236,138,182,95,264,347,528,449,596,513,112,574,648,1753,1627
LOC100644520,172,30,282,185,283,309,119,80,64,128,276,364,394,366,309
LOC100643390,153,47,278,170,338,315,217,148,169,271,484,340,369,431,312
LOC100652257,819,197,1176,700,1515,1703,500,368,436,708,2169,1649,2572,2572,1954
LOC100648017,247,52,460,249,493,452,236,186,206,310,466,583,539,858,720
LOC100650866,263,43,432,239,471,741,247,171,148,296,1403,598,612,982,795
LOC100643965,185,38,331,165,415,390,115,93,91,183,2187,474,669,1297,770
LOC100647138,461,99,722,406,881,913,327,239,178,374,664,662,1229,1559,985
LOC100650775,257,35,358,171,448,375,90,89,71,146,1723,578,692,831,568
LOC100648723,118,39,236,58,278,371,70,70,53,225,569,240,322,685,559
LOC100648581,837,182,1083,634,2106,1579,949,825,632,1569,5204,1153,1779,3431,2452
LOC100651783,128,33,256,125,330,402,91,60,70,166,811,348,372,688,553
LOC100649750,20,10,48,20,73,40,23,21,15,54,138,32,60,191,168
LOC100648361,99,14,236,129,373,223,77,64,57,177,1576,214,556,768,540
LOC100642626,294,80,450,252,506,682,243,181,198,246,674,574,457,1238,796
LOC100642220,432,110,827,477,847,861,1328,1080,1074,1114,2416,653,1045,1611,967
LOC100645128,362,54,666,305,831,668,306,248,228,504,1572,600,709,1466,1014
LOC100651993,91,29,159,92,222,267,80,77,68,145,1057,362,424,686,529
LOC100646140,273,74,485,278,635,490,236,215,191,518,1239,561,661,1316,1021
LOC100651787,541,240,903,610,882,975,483,365,441,661,923,1163,1068,1523,1147
LOC100645881,1608,328,2984,1676,1965,2817,391,389,239,491,14540,5033,8182,7006,5472
LOC100642777,372,82,742,328,793,807,304,263,224,450,1074,723,728,1756,1188
LOC100652075,1697,206,4333,2896,4172,4734,2035,1597,1266,2691,4779,2427,3799,2859,2405
LOC100652056,1334,371,2267,1411,2677,3159,969,847,834,1477,6090,3468,6328,6524,4516
LOC100649731,1967,1186,3025,3482,2481,1625,3336,2673,3088,1859,152,750,440,428,510
